"clie_ti";"cliente";"tipo_cliente";"fecha";"vigencia_tipo"
8050;5483;2;2008-05-14 00:00:00;
8051;5117;2;2011-08-30 00:00:00;2011-08-30 00:00:00
8052;4542;2;2011-08-30 00:00:00;2011-08-30 00:00:00
8053;1937;2;2011-07-01 00:00:00;2011-07-01 00:00:00
8054;4240;3;2011-08-30 00:00:00;
8055;5783;3;2013-04-26 00:00:00;2013-04-26 00:00:00
8056;4240;3;2011-08-30 00:00:00;2011-08-30 00:00:00
8057;6517;2;2015-07-01 00:00:00;
8058;6517;2;2015-07-08 00:00:00;2015-07-08 00:00:00
8059;6516;2;2015-07-08 00:00:00;2015-07-08 00:00:00
8060;6534;2;2015-07-08 00:00:00;2015-07-08 00:00:00
8061;6535;2;2015-07-08 00:00:00;2015-07-08 00:00:00
8062;6536;2;2015-07-08 00:00:00;2015-07-08 00:00:00
8063;6537;2;2015-07-08 00:00:00;2015-07-08 00:00:00
8064;6538;2;2015-07-08 00:00:00;2015-07-08 00:00:00
8065;6539;2;2015-07-08 00:00:00;2015-07-08 00:00:00
8066;4258;4;2014-11-12 00:00:00;2014-11-12 00:00:00
8067;1921;4;2011-08-01 00:00:00;
8068;5626;4;2012-10-30 00:00:00;2012-10-30 00:00:00
8069;3999;4;2011-08-30 00:00:00;2011-08-30 00:00:00
8070;4257;4;2011-08-30 00:00:00;2011-08-30 00:00:00
8071;4450;4;2011-08-30 00:00:00;2011-08-30 00:00:00
8072;4934;4;2011-08-30 00:00:00;2011-08-30 00:00:00
8073;1911;3;2011-07-07 00:00:00;
8074;1911;4;2011-07-07 00:00:00;2011-07-07 00:00:00
8075;5072;4;2011-08-30 00:00:00;2011-08-30 00:00:00
8076;6540;1;2015-07-14 00:00:00;
8077;6540;2;2015-07-14 00:00:00;2015-07-14 00:00:00
8078;6487;2;2015-07-16 00:00:00;2015-07-16 00:00:00
8079;6541;1;2015-07-13 00:00:00;
8080;6542;1;2015-07-15 00:00:00;
8081;6543;2;2015-07-14 00:00:00;2015-07-14 00:00:00
8082;6544;2;2015-07-14 00:00:00;2015-07-14 00:00:00
8083;6545;2;2015-07-15 00:00:00;
8084;6545;2;2015-07-10 00:00:00;2015-07-10 00:00:00
8085;6546;2;2015-07-10 00:00:00;2015-07-10 00:00:00
8086;6547;2;2015-07-10 00:00:00;2015-07-10 00:00:00
8087;6548;2;2015-07-16 00:00:00;2015-07-16 00:00:00
8088;6541;1;2015-07-13 00:00:00;
8089;6542;1;2015-07-15 00:00:00;
8090;6542;2;2015-07-15 00:00:00;2015-07-15 00:00:00
8091;6541;2;2015-07-13 00:00:00;2015-07-13 00:00:00
8092;6549;1;2015-07-17 00:00:00;
8093;6550;1;2015-07-17 00:00:00;
8094;5765;4;2013-04-13 00:00:00;2013-04-13 00:00:00
8095;6549;2;2015-07-17 00:00:00;2015-07-17 00:00:00
